name,name_hiragana,name_katakana,name_romaji,prefecture,prefecture_id,station_id,railway_company,line_name,aliases,all_lines,line_type,company_code
弘前東高前,ひろさきひがしこうまえ,ヒロサキヒガシコウマエ,hirosakihigashikoumae,青森県,02,20753,その他,弘南線,,弘南鉄道弘南線,Other,OTHER
運動公園前(青森県),うんどうこうえんまえ(あおもりけん),ウンドウコウエンマエ(アオモリケン),undoukouenmae(aomoriken),青森県,02,20636,その他,弘南線,運動公園前(青森県),弘南鉄道弘南線,Other,OTHER
新里(青森県),にいさと(あおもりけん),ニイサト(アオモリケン),niisato(aomoriken),青森県,02,20742,その他,弘南線,新里(青森県),弘南鉄道弘南線,Other,OTHER
館田,たてだ,タテダ,tateda,青森県,02,20705,その他,弘南線,,弘南鉄道弘南線,Other,OTHER
平賀,ひらが,ヒラガ,hiraga,青森県,02,20756,その他,弘南線,,弘南鉄道弘南線,Other,OTHER
柏農高校前,かしわのうこうこうまえ,カシワノウコウコウマエ,kashiwanoukoukoumae,青森県,02,20748,その他,弘南線,,弘南鉄道弘南線,Other,OTHER
津軽尾上,つがるおのえ,ツガルオノエ,tsugaruonoe,青森県,02,20716,その他,弘南線,,弘南鉄道弘南線,Other,OTHER
尾上高校前,おのえこうこうまえ,オノエコウコウマエ,onoekoukoumae,青森県,02,29266,その他,弘南線,,弘南鉄道弘南線|尾上高校前 → 石川(奥羽本線),Other,OTHER
田んぼアート,たんぼあと,タンボアト,tanboato,青森県,02,29719,その他,弘南線,,弘南鉄道弘南線,Other,OTHER
田舎館,いなかだて,イナカダテ,inakadate,青森県,02,20632,その他,弘南線,,弘南鉄道弘南線,Other,OTHER
境松,さかいまつ,サカイマツ,sakaimatsu,青森県,02,20685,その他,弘南線,,弘南鉄道弘南線,Other,OTHER
黒石(青森県),くろいし(あおもりけん),クロイシ(アオモリケン),kuroishi(aomoriken),青森県,02,20673,その他,弘南線,黒石(青森県),弘南鉄道弘南線,Other,OTHER
津軽五所川原,つがるごしょがわら,ツガルゴショガワラ,tsugarugoshogawara,青森県,02,20717,その他,津軽鉄道線,,,Private,OTHER
十川(青森県),そがわ(あおもりけん),ソガワ(アオモリケン),sogawa(aomoriken),青森県,02,20729,その他,津軽鉄道線,十川(青森県),,Private,OTHER
五農校前,ごのうこうまえ,ゴノウコウマエ,gonoukoumae,青森県,02,20684,その他,津軽鉄道線,,,Private,OTHER
津軽飯詰,つがるめしつめ,ツガルメシツメ,tsugarumeshitsume,青森県,02,20713,その他,津軽鉄道線,,,Private,OTHER
毘沙門,びしゃもん,ビシャモン,bishamon,青森県,02,20760,その他,津軽鉄道線,,,Private,OTHER
嘉瀬,かせ,カセ,kase,青森県,02,20654,その他,津軽鉄道線,,,Private,OTHER
金木,かなぎ,カナギ,kanagi,青森県,02,20656,その他,津軽鉄道線,,,Private,OTHER
芦野公園,あしのこうえん,アシノコウエン,ashinokouen,青森県,02,20623,その他,津軽鉄道線,,,Private,OTHER
川倉,かわくら,カワクラ,kawakura,青森県,02,20663,その他,津軽鉄道線,,,Private,OTHER
大沢内,おおさわない,オオサワナイ,oosawanai,青森県,02,20642,その他,津軽鉄道線,,,Private,OTHER
深郷田,ふこうだ,フコウダ,fukouda,青森県,02,20763,その他,津軽鉄道線,,,Private,OTHER
津軽中里,つがるなかざと,ツガルナカザト,tsugarunakazato,青森県,02,20719,その他,津軽鉄道線,,,Private,OTHER
一ノ関,いちのせき,イチノセキ,ichinoseki,岩手県,03,20806,その他,大船渡線,,ＪＲ東北本線|ＪＲ大船渡線|ＪＲ秋田新幹線|ＪＲ東北新幹線,Other,OTHER
真滝,まことたき,マコトタキ,makototaki,岩手県,03,20929,その他,大船渡線,,ＪＲ大船渡線,Other,OTHER
陸中門崎,りくちゅうかどさき,リクチュウカドサキ,rikuchuukadosaki,岩手県,03,20961,その他,大船渡線,,ＪＲ大船渡線,Other,OTHER
岩ノ下,いわした,イワシタ,iwashita,岩手県,03,20820,その他,大船渡線,,ＪＲ大船渡線,Other,OTHER
陸中松川,りくちゅうまつかわ,リクチュウマツカワ,rikuchuumatsukawa,岩手県,03,20965,その他,大船渡線,,ＪＲ大船渡線,Other,OTHER
猊鼻渓,げいびけい,ゲイビケイ,geibikei,岩手県,03,20852,その他,大船渡線,,ＪＲ大船渡線,Other,OTHER
柴宿,しばやど,シバヤド,shibayado,岩手県,03,20867,その他,大船渡線,,ＪＲ大船渡線,Other,OTHER
摺沢,すりさわ,スリサワ,surisawa,岩手県,03,20874,その他,大船渡線,,ＪＲ大船渡線,Other,OTHER
千厩,せんまや,センマヤ,senmaya,岩手県,03,20878,その他,大船渡線,,ＪＲ大船渡線,Other,OTHER
小梨,こなし,コナシ,konashi,岩手県,03,20859,その他,大船渡線,,ＪＲ大船渡線,Other,OTHER
矢越,やごし,ヤゴシ,yagoshi,岩手県,03,20941,その他,大船渡線,,ＪＲ大船渡線,Other,OTHER
折壁,おりかべ,オリカベ,orikabe,岩手県,03,20835,その他,大船渡線,,ＪＲ大船渡線,Other,OTHER
新月,しんげつ,シンゲツ,shingetsu,岩手県,03,20898,その他,大船渡線,,ＪＲ大船渡線,Other,OTHER
長部,おさべ,オサベ,osabe,岩手県,03,29715,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
陸前今泉,りくぜんいまいずみ,リクゼンイマイズミ,rikuzenimaizumi,岩手県,03,29843,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
奇跡の一本松,きせきいっぽんまつ,キセキイッポンマツ,kisekiipponmatsu,岩手県,03,29726,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
陸前高田,りくぜんたかた,リクゼンタカタ,rikuzentakata,岩手県,03,20955,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
高田高校前,たかだこうこうまえ,タカダコウコウマエ,takadakoukoumae,岩手県,03,29747,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
高田病院,たかだびょういん,タカダビョウイン,takadabyouin,岩手県,03,29716,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
脇ノ沢,わきさわ,ワキサワ,wakisawa,岩手県,03,20970,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
西下,にしした,ニシシタ,nishishita,岩手県,03,29816,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
小友,おとも,オトモ,otomo,岩手県,03,20831,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
碁石海岸口,ごいしかいがんくち,ゴイシカイガンクチ,goishikaigankuchi,岩手県,03,29720,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
細浦,ほそうら,ホソウラ,hosoura,岩手県,03,20924,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
大船渡丸森,おおふなとまるもり,オオフナトマルモリ,oofunatomarumori,岩手県,03,29844,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
下船渡,げせんわたり,ゲセンワタリ,gesenwatari,岩手県,03,20871,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
大船渡魚市場前,おおふなとうおいちばまえ,オオフナトウオイチバマエ,oofunatouoichibamae,岩手県,03,29772,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
大船渡,おおふなと,オオフナト,oofunato,岩手県,03,20827,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
地ノ森,ちもり,チモリ,chimori,岩手県,03,29845,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
田茂山,たしげやま,タシゲヤマ,tashigeyama,岩手県,03,29846,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
盛,じょう,ジョウ,jou,岩手県,03,20861,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ|三陸鉄道リアス線,Other,OTHER
陸前矢作,りくぜんやはぎ,リクゼンヤハギ,rikuzenyahagi,岩手県,03,20956,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
竹駒,たけこま,タケコマ,takekoma,岩手県,03,20882,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
栃ケ沢公園,とちけさわこうえん,トチケサワコウエン,tochikesawakouen,岩手県,03,29792,その他,大船渡線,,ＪＲ大船渡線ＢＲＴ,Other,OTHER
花巻,はなまき,ハナマキ,hanamaki,岩手県,03,20906,その他,釜石線,,ＪＲ東北本線|ＪＲ釜石線,Other,OTHER
似内,にたない,ニタナイ,nitanai,岩手県,03,20900,その他,釜石線,,ＪＲ釜石線,Other,OTHER
新花巻,しんはなまき,シンハナマキ,shinhanamaki,岩手県,03,20873,その他,釜石線,,ＪＲ釜石線|ＪＲ秋田新幹線|ＪＲ東北新幹線,Other,OTHER
小山田,おやまだ,オヤマダ,oyamada,岩手県,03,20833,その他,釜石線,,ＪＲ釜石線,Other,OTHER
土沢,とさわ,トサワ,tosawa,岩手県,03,20890,その他,釜石線,,ＪＲ釜石線,Other,OTHER
晴山,はれやま,ハレヤマ,hareyama,岩手県,03,20911,その他,釜石線,,ＪＲ釜石線,Other,OTHER
岩根橋,いわねはし,イワネハシ,iwanehashi,岩手県,03,20819,その他,釜石線,,ＪＲ釜石線,Other,OTHER
宮守,みやもり,ミヤモリ,miyamori,岩手県,03,20937,その他,釜石線,,ＪＲ釜石線,Other,OTHER
柏木平,かしわぎたいら,カシワギタイラ,kashiwagitaira,岩手県,03,20836,その他,釜石線,,ＪＲ釜石線,Other,OTHER
鱒沢,ますざわ,マスザワ,masuzawa,岩手県,03,20928,その他,釜石線,,ＪＲ釜石線,Other,OTHER
荒谷前,あらたにまえ,アラタニマエ,aratanimae,岩手県,03,20804,その他,釜石線,,ＪＲ釜石線,Other,OTHER
岩手二日町,いわてふつかまち,イワテフツカマチ,iwatefutsukamachi,岩手県,03,20816,その他,釜石線,,ＪＲ釜石線,Other,OTHER
綾織,あやおり,アヤオリ,ayaori,岩手県,03,20802,その他,釜石線,,ＪＲ釜石線,Other,OTHER
遠野,とおの,トオノ,toono,岩手県,03,20892,その他,釜石線,,ＪＲ釜石線,Other,OTHER
青笹,あおささ,アオササ,aosasa,岩手県,03,20795,その他,釜石線,,ＪＲ釜石線,Other,OTHER
岩手上郷,いわてかみさと,イワテカミサト,iwatekamisato,岩手県,03,20813,その他,釜石線,,ＪＲ釜石線,Other,OTHER
平倉,たいらくら,タイラクラ,tairakura,岩手県,03,20916,その他,釜石線,,ＪＲ釜石線,Other,OTHER
足ケ瀬,あしけせ,アシケセ,ashikese,岩手県,03,20800,その他,釜石線,,ＪＲ釜石線,Other,OTHER
上有住,うえありずみ,ウエアリズミ,uearizumi,岩手県,03,20840,その他,釜石線,,ＪＲ釜石線,Other,OTHER
陸中大橋,りくちゅうおおはし,リクチュウオオハシ,rikuchuuoohashi,岩手県,03,20958,その他,釜石線,,ＪＲ釜石線,Other,OTHER
洞泉,ほらいずみ,ホライズミ,horaizumi,岩手県,03,20895,その他,釜石線,,ＪＲ釜石線,Other,OTHER
松倉,まつくら,マツクラ,matsukura,岩手県,03,20932,その他,釜石線,,ＪＲ釜石線,Other,OTHER
小佐野,おさの,オサノ,osano,岩手県,03,20856,その他,釜石線,,ＪＲ釜石線,Other,OTHER
釜石,かまいし,カマイシ,kamaishi,岩手県,03,20839,その他,釜石線,,三陸鉄道リアス線|ＪＲ釜石線,Other,OTHER
油島,あぶらしま,アブラシマ,aburashima,岩手県,03,20946,その他,東北本線,,ＪＲ東北本線,Other,OTHER
花泉,はないずみ,ハナイズミ,hanaizumi,岩手県,03,20905,その他,東北本線,,ＪＲ東北本線,Other,OTHER
清水原,しみずはら,シミズハラ,shimizuhara,岩手県,03,20870,その他,東北本線,,ＪＲ東北本線,Other,OTHER
山ノ目,やまめ,ヤマメ,yamame,岩手県,03,20945,その他,東北本線,,ＪＲ東北本線,Other,OTHER
平泉,ひらいずみ,ヒライズミ,hiraizumi,岩手県,03,20915,その他,東北本線,,ＪＲ東北本線,Other,OTHER
前沢,まえさわ,マエサワ,maesawa,岩手県,03,20927,その他,東北本線,,ＪＲ東北本線,Other,OTHER
陸中折居,りくちゅうおりい,リクチュウオリイ,rikuchuuorii,岩手県,03,20959,その他,東北本線,,ＪＲ東北本線,Other,OTHER
水沢,みずさわ,ミズサワ,mizusawa,岩手県,03,20933,その他,東北本線,,ＪＲ東北本線,Other,OTHER
金ケ崎,きんけさき,キンケサキ,kinkesaki,岩手県,03,20838,その他,東北本線,,ＪＲ東北本線,Other,OTHER
六原,ろくはら,ロクハラ,rokuhara,岩手県,03,20968,その他,東北本線,,ＪＲ東北本線,Other,OTHER
北上,きたかみ,キタカミ,kitakami,岩手県,03,20844,その他,東北本線,,ＪＲ東北本線|ＪＲ北上線|ＪＲ秋田新幹線|ＪＲ東北新幹線,Other,OTHER
村崎野,むらさきの,ムラサキノ,murasakino,岩手県,03,20938,その他,東北本線,,ＪＲ東北本線,Other,OTHER
花巻空港(東北本線),はなまきくうこう(とうほくほんせん),ハナマキクウコウ(トウホクホンセン),hanamakikuukou(touhokuhonsen),岩手県,03,20907,その他,東北本線,花巻空港(東北本線),仙台 → 花巻空港(東北本線)|花巻空港(東北本線) → 矢幅|東京 → 花巻空港(東北本線)|花巻空港(東北本線) → 花巻|盛岡 → 花巻空港(東北本線)|花巻空港(東北本線) → 仙台|ＪＲ東北本線|北上 → 花巻空港(東北本線)|花巻空港(東北本線) → 盛岡|一ノ関 → 花巻空港(東北本線)|花巻空港(東北本線) → 北上,Other,OTHER
石鳥谷,いしどりや,イシドリヤ,ishidoriya,岩手県,03,20805,その他,東北本線,,ＪＲ東北本線,Other,OTHER
日詰,にちつめ,ニチツメ,nichitsume,岩手県,03,20914,その他,東北本線,,ＪＲ東北本線,Other,OTHER
紫波中央,しわちゅうおう,シワチュウオウ,shiwachuuou,岩手県,03,29219,その他,東北本線,,ＪＲ東北本線,Other,OTHER
古館(岩手県),ふるたち(いわてけん),フルタチ(イワテケン),furutachi(iwateken),岩手県,03,20921,その他,東北本線,古館(岩手県),ＪＲ東北本線,Other,OTHER
矢幅,やはば,ヤハバ,yahaba,岩手県,03,20943,その他,東北本線,,ＪＲ東北本線,Other,OTHER
岩手飯岡,いわていいおか,イワテイイオカ,iwateiioka,岩手県,03,20811,その他,東北本線,,ＪＲ東北本線,Other,OTHER
仙北町,せんぼくまち,センボクマチ,senbokumachi,岩手県,03,20877,その他,東北本線,,ＪＲ東北本線,Other,OTHER
盛岡,もりおか,モリオカ,morioka,岩手県,03,20940,その他,東北本線,,ＩＧＲいわて銀河鉄道線|ＪＲ田沢湖線|ＪＲ山田線|ＪＲ東北本線|ＪＲ花輪線|ＪＲ東北新幹線|ＪＲ秋田新幹線,Other,OTHER
上盛岡,うえもりおか,ウエモリオカ,uemorioka,岩手県,03,20841,その他,山田線,,ＪＲ山田線,Other,OTHER
山岸,やまぎし,ヤマギシ,yamagishi,岩手県,03,20944,その他,山田線,,ＪＲ山田線,Other,OTHER
上米内,じょうまいない,ジョウマイナイ,joumainai,岩手県,03,20842,その他,山田線,,ＪＲ山田線,Other,OTHER
区界,くかい,クカイ,kukai,岩手県,03,20848,その他,山田線,,ＪＲ山田線,Other,OTHER
松草,まつくさ,マツクサ,matsukusa,岩手県,03,20931,その他,山田線,,ＪＲ山田線,Other,OTHER
川内(岩手県),かわうち(いわてけん),カワウチ(イワテケン),kawauchi(iwateken),岩手県,03,20843,その他,山田線,川内(岩手県),ＪＲ山田線,Other,OTHER
箱石,はこいし,ハコイシ,hakoishi,岩手県,03,20904,その他,山田線,,ＪＲ山田線,Other,OTHER
陸中川井,りくちゅうかわい,リクチュウカワイ,rikuchuukawai,岩手県,03,20960,その他,山田線,,ＪＲ山田線,Other,OTHER
腹帯,はらおび,ハラオビ,haraobi,岩手県,03,20909,その他,山田線,,ＪＲ山田線,Other,OTHER
茂市,もいち,モイチ,moichi,岩手県,03,20939,その他,山田線,,ＪＲ山田線,Other,OTHER
蟇目,ひきめ,ヒキメ,hikime,岩手県,03,20913,その他,山田線,,ＪＲ山田線,Other,OTHER
花原市,はなはらいち,ハナハライチ,hanaharaichi,岩手県,03,20851,その他,山田線,,ＪＲ山田線,Other,OTHER
千徳,せんとく,セントク,sentoku,岩手県,03,20876,その他,山田線,,ＪＲ山田線,Other,OTHER
宮古,みやこ,ミヤコ,miyako,岩手県,03,20936,その他,山田線,,三陸鉄道リアス線|ＪＲ山田線,Other,OTHER
好摩,こうま,コウマ,kouma,岩手県,03,20855,その他,花輪線,,ＩＧＲいわて銀河鉄道線|ＪＲ花輪線,Other,OTHER
東大更,とうだいこう,トウダイコウ,toudaikou,岩手県,03,20912,その他,花輪線,,ＪＲ花輪線,Other,OTHER
大更,だいこう,ダイコウ,daikou,岩手県,03,20828,その他,花輪線,,ＪＲ花輪線,Other,OTHER
平館,ひらだて,ヒラダテ,hiradate,岩手県,03,20880,その他,花輪線,,ＪＲ花輪線,Other,OTHER
北森,きたもり,キタモリ,kitamori,岩手県,03,20845,その他,花輪線,,ＪＲ花輪線,Other,OTHER
松尾八幡平,まつおはちまんたい,マツオハチマンタイ,matsuohachimantai,岩手県,03,20930,その他,花輪線,,ＪＲ花輪線,Other,OTHER
安比高原,あっぴこうげん,アッピコウゲン,appikougen,岩手県,03,20794,その他,花輪線,,ＪＲ花輪線,Other,OTHER
赤坂田,あかさかた,アカサカタ,akasakata,岩手県,03,20796,その他,花輪線,,ＪＲ花輪線,Other,OTHER
小屋の畑,こやはた,コヤハタ,koyahata,岩手県,03,20860,その他,花輪線,,ＪＲ花輪線,Other,OTHER
荒屋新町,あばらやしんまち,アバラヤシンマチ,abarayashinmachi,岩手県,03,20803,その他,花輪線,,ＪＲ花輪線,Other,OTHER
横間,よこかん,ヨコカン,yokokan,岩手県,03,20950,その他,花輪線,,ＪＲ花輪線,Other,OTHER
田山,たやま,タヤマ,tayama,岩手県,03,20887,その他,花輪線,,ＪＲ花輪線,Other,OTHER
兄畑,あにはたけ,アニハタケ,anihatake,岩手県,03,20801,その他,花輪線,,ＪＲ花輪線,Other,OTHER
角の浜,かどはま,カドハマ,kadohama,岩手県,03,20837,その他,八戸線,,ＪＲ八戸線,Other,OTHER
平内,ひらない,ヒラナイ,hiranai,岩手県,03,20918,その他,八戸線,,ＪＲ八戸線,Other,OTHER
種市,たねいち,タネイチ,taneichi,岩手県,03,20884,その他,八戸線,,ＪＲ八戸線,Other,OTHER
玉川(岩手県),たまがわ(いわてけん),タマガワ(イワテケン),tamagawa(iwateken),岩手県,03,20886,その他,八戸線,玉川(岩手県),ＪＲ八戸線,Other,OTHER
宿戸,やどこ,ヤドコ,yadoko,岩手県,03,20865,その他,八戸線,,ＪＲ八戸線,Other,OTHER
陸中八木,りくちゅうやぎ,リクチュウヤギ,rikuchuuyagi,岩手県,03,20966,その他,八戸線,,ＪＲ八戸線,Other,OTHER
有家(岩手県),ありいえ(いわてけん),アリイエ(イワテケン),ariie(iwateken),岩手県,03,20821,その他,八戸線,有家(岩手県),ＪＲ八戸線,Other,OTHER
陸中中野,りくちゅうなかの,リクチュウナカノ,rikuchuunakano,岩手県,03,20962,その他,八戸線,,ＪＲ八戸線,Other,OTHER
侍浜,さむらいはま,サムライハマ,samuraihama,岩手県,03,20863,その他,八戸線,,ＪＲ八戸線,Other,OTHER
陸中夏井,りくちゅうなつい,リクチュウナツイ,rikuchuunatsui,岩手県,03,20963,その他,八戸線,,ＪＲ八戸線,Other,OTHER
久慈,くじ,クジ,kuji,岩手県,03,20849,その他,八戸線,,ＪＲ八戸線|三陸鉄道リアス線,Other,OTHER
柳原(岩手県),やなぎはら(いわてけん),ヤナギハラ(イワテケン),yanagihara(iwateken),岩手県,03,20942,その他,北上線,柳原(岩手県),ＪＲ北上線,Other,OTHER
江釣子,えづりこ,エヅリコ,ezuriko,岩手県,03,20823,その他,北上線,,ＪＲ北上線,Other,OTHER
藤根,ふじね,フジネ,fujine,岩手県,03,20919,その他,北上線,,ＪＲ北上線,Other,OTHER
立川目,たちかわめ,タチカワメ,tachikawame,岩手県,03,20883,その他,北上線,,ＪＲ北上線,Other,OTHER
横川目,よこかわめ,ヨコカワメ,yokokawame,岩手県,03,20949,その他,北上線,,ＪＲ北上線,Other,OTHER
岩沢,いわさわ,イワサワ,iwasawa,岩手県,03,20810,その他,北上線,,ＪＲ北上線,Other,OTHER
和賀仙人,わがせんにん,ワガセンニン,wagasennin,岩手県,03,20969,その他,北上線,,ＪＲ北上線,Other,OTHER
ゆだ錦秋湖,ゆだきんしゅうみずうみ,ユダキンシュウミズウミ,yudakinshuumizuumi,岩手県,03,20947,その他,北上線,,ＪＲ北上線,Other,OTHER
ほっとゆだ,ほっとゆだ,ホットユダ,hottoyuda,岩手県,03,20923,その他,北上線,,ＪＲ北上線,Other,OTHER
ゆだ高原,ゆだこうげん,ユダコウゲン,yudakougen,岩手県,03,20948,その他,北上線,,ＪＲ北上線,Other,OTHER
水沢江刺,みずさわえさし,ミズサワエサシ,mizusawaesashi,岩手県,03,20934,その他,東北新幹線,,ＪＲ秋田新幹線|ＪＲ東北新幹線,Other,OTHER
